,Unnamed: 0_x,fipsCode,amount_land,amount_water,latitude,longitude,venue_id,brand,state_x,city,daily_traffic_avg,home_air_distance_kilometers_median,home_air_distance_kilometers_25th_pct,home_air_distance_75th_kilometers_pct,work_air_distance_kilometers_median,work_air_distance_25th_kilometers_pct,work_air_distance_75th_kilometers_pct,traffic_fraction,people_fraction,venue_air_distance,population,Unnamed: 0_y,state_y,map_count_by_city,Unnamed: 0,state,daily_traffic_avg_avg,home_air_distance_kilometers_median_avg,home_air_distance_kilometers_25th_pct_avg,home_air_distance_75th_kilometers_pct_avg,work_air_distance_kilometers_median_avg,work_air_distance_25th_kilometers_pct_avg,work_air_distance_75th_kilometers_pct_avg,income_mean,income_median
36,37,80010085441,2608396.0,21323,39.9547675,-104.9535393,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.009000000000000001,0.012,7.961,4968,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
37,38,80010085451,738960.0,9265,39.929704,-104.951255,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006,0.004,1.479,1994,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
38,39,80010085452,444951.0,0,39.9327941,-104.95233770000002,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006999999999999999,0.008,1.999,1456,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
39,40,80010085452,444951.0,0,39.9327941,-104.95233770000002,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.003,7.56,1456,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
40,41,80010085453,949918.0,48408,39.9394475,-104.9567215,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006,0.009000000000000001,1.632,1480,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
41,42,80010085454,540678.0,0,39.9400243,-104.9469365,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.009000000000000001,0.006,2.795,1319,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
42,43,80010085455,446125.0,0,39.9359656,-104.9443701,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.004,0.004,2.809,1472,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
43,44,80010085455,446125.0,0,39.9359656,-104.9443701,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.003,0.003,8.48,1472,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
44,45,80010085461,632243.0,0,39.92456470000001,-104.9261227,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.008,0.006999999999999999,3.687,1177,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
45,46,80010085462,683398.0,988,39.9252887,-104.93573700000002,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.01,0.009000000000000001,2.869,1892,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
46,47,80010085471,362640.0,0,39.91722960000001,-104.924825,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.01,0.011,3.879,1795,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
47,48,80010085472,828306.0,0,39.91749520000001,-104.9339582,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.006999999999999999,2.8310000000000004,2308,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
48,49,80010085472,828306.0,0,39.91749520000001,-104.9339582,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.003,8.892000000000003,2308,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
49,50,80010085481,1244442.0,6215,39.9253879,-104.91150559999998,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.008,0.009000000000000001,4.412,1556,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
50,51,80010085491,944107.0,0,39.9169657,-104.9112964,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.01,0.016,4.391,3060,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
51,52,80010085501,683446.0,12802,39.9111268,-104.9276615,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.005,3.426,2120,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
52,53,80010085502,495365.0,0,39.9100047,-104.937045,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.009000000000000001,0.01,2.8480000000000003,1093,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
53,54,80010085502,495365.0,0,39.9100047,-104.937045,076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,CO,Westminster,749,6,3,11,10,5,23,0.002,0.003,8.892000000000003,1093,26,CO,2,26,CO,640.0,5.0,3.0,9.5,8.5,4.5,21.0,69768.6397058823,96610.32352941179
54,55,80010085503,2663488.0,47959,39.9062409,-104.9180209,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.021,0.018000000000000002,3.457,3996,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
55,56,80010085511,8739481.0,261987,39.9058627,-104.8996895,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.006999999999999999,0.006999999999999999,5.016,1365,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
56,57,80010090011,889341.0,0,39.8528486,-104.96153,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.004,0.004,6.737,2049,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
57,58,80010090012,1220135.0,0,39.8528189,-104.97755759999998,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.006999999999999999,6.7189999999999985,2257,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
58,59,80010091011,1097280.0,0,39.863856,-104.95503329999998,dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,CO,Thornton,440,4,2,6,10,4,20,0.005,0.004,5.215,2504,25,CO,1,25,CO,440.0,4.0,2.0,6.0,10.0,4.0,20.0,69768.6397058823,96610.32352941179
